Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
B_CUY_01_043_13,1097.69264,1534.890566537665,437.1979265376651
CUY_00_029_03,681.0,660.5172808380781,20.482719161921864
B_CUY_01_101_10,489.87936,768.7988022869434,278.9194422869434
B_CUY_01_066_09,381.01728,1099.9597887180564,718.9425087180564
B_CUY_01_066_14,381.01728,957.088336806359,576.071056806359
B_CUY_01_083_03,145.14944,380.48923509115156,235.33979509115156
B_CUY_01_101_02,489.87936,933.928122496463,444.0487624964629
B_CUY_01_101_18,489.87936,879.7873617720303,389.9080017720303
B_CUY_01_101_04,489.87936,664.7282288944228,174.84886889442282
B_CUY_01_076_05,281.22704,992.580613281265,711.353573281265
B_CUY_01_101_11,489.87936,767.8964562748695,278.01709627486946
B_CUY_01_066_11,381.01728,1071.9870623437662,690.9697823437662
B_CUY_01_076_02,281.22704,843.9943032930998,562.7672632930999
B_CUY_01_065_07,390.08912,1061.1589101988795,671.0697901988796
B_CUY_01_083_02,145.14944,476.4386943750072,331.2892543750072
B_CUY_01_076_10,281.22704,943.2523646212263,662.0253246212263
B_CUY_01_101_14,489.87936,853.6193274218879,363.73996742188785
B_CUY_01_076_03,281.22704,760.9784701823031,479.7514301823031
B_CUY_01_065_06,390.08912,961.2992848627039,571.2101648627039
B_CUY_01_101_13,489.87936,853.6193274218879,363.73996742188785
B_CUY_01_066_15,381.01728,878.2834517519071,497.2661717519071
B_CUY_01_083_01,145.14944,436.1339058357073,290.9844658357073
B_CUY_01_065_10,390.08912,1617.0040536363879,1226.914933636388
CUY_00_029_02,681.0,730.9002697798405,49.90026977984053
CUY_00_007_02,884.0,1761.9809795762576,877.9809795762576
B_CUY_01_101_15,489.87936,694.8064292968854,204.9270692968854
B_CUY_01_065_09,390.08912,1136.9559752130854,746.8668552130854
B_CUY_01_101_17,489.87936,822.939563011376,333.06020301137596
B_CUY_01_101_01,489.87936,768.7988022869434,278.9194422869434
B_CUY_01_066_12,381.01728,982.9555891524769,601.9383091524769
CUY_00_007_04,884.0,2067.274713661253,1183.274713661253
CUY_00_007_03,884.0,1756.867685507839,872.867685507839
B_CUY_01_076_09,281.22704,777.2206983996329,495.99365839963286
B_CUY_01_066_07,381.01728,1185.6826598650746,804.6653798650746
B_CUY_01_066_05,381.01728,918.2874582871824,537.2701782871824
B_CUY_01_076_08,281.22704,873.4709396875131,592.2438996875131
B_CUY_01_066_06,381.01728,1008.8228414985947,627.8055614985947
CUY_00_007_07,884.0,1381.1909624810814,497.19096248108144
B_CUY_01_066_04,381.01728,800.0801307055044,419.0628507055044
B_CUY_01_083_05,145.14944,391.01660523201343,245.86716523201343
B_CUY_01_101_12,489.87936,776.9199163956083,287.0405563956083
B_CUY_01_066_08,381.01728,1085.2214705208496,704.2041905208496
B_CUY_01_076_04,281.22704,952.8773887500143,671.6503487500144
B_CUY_01_101_05,489.87936,899.338192033631,409.458832033631
B_CUY_01_101_16,489.87936,879.4865797680056,389.6072197680056
B_CUY_01_066_13,381.01728,1045.518245989599,664.5009659895991
B_CUY_01_066_02,381.01728,1366.4526442838746,985.4353642838746
B_CUY_01_066_03,381.01728,1159.2138435109075,778.1965635109075
B_CUY_01_101_09,489.87936,1028.67445376422,538.79509376422
B_CUY_01_065_08,390.08912,1120.1121829877063,730.0230629877063
B_CUY_01_083_04,145.14944,414.47760154593425,269.3281615459342
B_CUY_01_101_08,489.87936,779.6269544318299,289.74759443182984
B_CUY_01_076_11,281.22704,871.6662476633654,590.4392076633654
B_CUY_01_066_01,381.01728,1217.2647702876604,836.2474902876604
B_CUY_01_101_07,489.87936,724.5838476953234,234.70448769532334
B_CUY_01_076_06,281.22704,843.6935212890752,562.4664812890752
B_CUY_01_066_10,381.01728,1003.709547430176,622.692267430176
B_CUY_01_101_06,489.87936,822.939563011376,333.06020301137596
B_CUY_01_076_07,281.22704,821.1348709872283,539.9078309872283
B_CUY_01_076_01,281.22704,1012.4322255468902,731.2051855468902
CUY_00_082_01,850.0,631.642208451714,218.35779154828595
CUY_00_076_09,1426.0,1073.4909723638893,352.50902763611066
CUY_00_074_07,1296.0,1097.854314689884,198.14568531011605
CUY_00_076_07,1426.0,902.9475760819265,523.0524239180735
CUY_00_074_05,1296.0,1134.850501184913,161.1494988150871
CUY_00_071_04,1216.0,879.7873617720303,336.2126382279697
CUY_00_074_04,1296.0,1074.3933183759632,221.6066816240368
