Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
B_CUY_01_065_08,390.08912,790.0726569785995,399.98353697859955
B_CUY_01_083_04,145.14944,292.3523419217267,147.2029019217267
B_CUY_01_101_08,489.87936,549.9109363288211,60.031576328821075
B_CUY_01_076_11,281.22704,614.8309774231958,333.6039374231958
B_CUY_01_066_01,381.01728,858.5993670226617,477.58208702266165
B_CUY_01_101_07,489.87936,511.08620587042054,21.206845870420523
B_CUY_01_076_06,281.22704,595.1003766984348,313.87333669843485
B_CUY_01_066_10,381.01728,707.9678991239491,326.9506191239491
B_CUY_01_101_06,489.87936,580.4615439026445,90.58218390264449
B_CUY_01_076_07,281.22704,579.1886019204019,297.9615619204019
B_CUY_01_076_01,281.22704,714.1204520381219,432.89341203812194
CUY_00_082_01,850.0,445.5296937849245,404.4703062150755
CUY_00_076_09,1426.0,757.1883224373313,668.8116775626687
CUY_00_074_07,1296.0,774.3730391976069,521.6269608023931
CUY_00_076_07,1426.0,636.8953051154016,789.1046948845984
CUY_00_074_05,1296.0,800.4683498335811,495.5316501664189
CUY_00_071_04,1216.0,620.5592163432877,595.4407836567123
CUY_00_074_04,1296.0,757.8247934284526,538.1752065715474
CUY_00_050_03,1060.0,793.4671689312465,266.53283106875347
CUY_00_082_04,850.0,540.1517144649608,309.84828553503917
CUY_00_074_01,1296.0,616.7403903965597,679.2596096034403
CUY_00_081_01,1109.0,529.5438646129388,579.4561353870612
CUY_00_076_03,1426.0,827.6244454547574,598.3755545452426
CUY_00_050_05,1060.0,512.9956188437845,547.0043811562155
CUY_00_055_04,1170.0,914.8209712383783,255.17902876162168
CUY_00_076_10,1426.0,933.4907869779371,492.5092130220629
CUY_00_050_01,1060.0,534.6356325419094,525.3643674580906
CUY_00_050_04,1060.0,623.7415712988943,436.2584287011057
CUY_00_076_08,1426.0,634.9858921420376,791.0141078579624
CUY_00_055_08,1170.0,814.6828686352906,355.31713136470944
CUY_00_076_11,1426.0,938.7947119039482,487.20528809605185
CUY_00_081_03,1109.0,580.4615439026445,528.5384560973555
CUY_00_076_13,1426.0,936.8852989305841,489.1147010694159
CUY_00_082_03,850.0,393.7633865070571,456.2366134929429
CUY_00_081_08,1109.0,595.7368476895563,513.2631523104437
CUY_00_055_09,1170.0,579.1886019204019,590.8113980795981
