Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
B_CUY_01_024_10,771.1064,779.1102156277731,8.003815627773065
B_CUY_01_024_11,771.1064,939.8789902811232,168.77259028112314
B_CUY_01_026_01,734.81904,778.6685431699343,43.84950316993434
B_CUY_01_045_04,934.39952,1010.546583535343,76.14706353534291
B_CUY_01_049_03,408.2328,749.0764884947297,340.8436884947297
B_CUY_01_045_07,934.39952,1092.918496922293,158.51897692229284
B_CUY_01_045_03,934.39952,911.6119529794353,22.78756702056478
B_CUY_01_065_02,390.08912,706.6759325421979,316.5868125421979
B_CUY_01_045_13,934.39952,953.1291640162893,18.729644016289285
B_CUY_01_043_11,1097.69264,954.8958538476448,142.79678615235514
B_CUY_01_045_09,934.39952,993.7630301374658,59.36351013746571
B_CUY_01_049_09,408.2328,765.1975332058486,356.9647332058486
B_CUY_01_049_10,408.2328,597.582835455996,189.35003545599602
B_CUY_01_049_05,408.2328,870.9780868582588,462.74528685825885
B_CUY_01_043_05,1097.69264,1111.2479039226062,13.555263922606173
B_CUY_01_043_07,1097.69264,1128.914802236161,31.22216223616101
B_CUY_01_043_04,1097.69264,983.825399836091,113.86724016390895
B_CUY_01_065_01,390.08912,769.8350940131568,379.7459740131568
B_CUY_01_045_15,934.39952,1003.4798242099209,69.08030420992088
B_CUY_01_026_10,734.81904,858.6112580387704,123.79221803877044
B_CUY_01_043_06,1097.69264,1017.6133428607649,80.07929713923511
B_CUY_01_043_02,1097.69264,975.6544593660719,122.03818063392805
B_CUY_01_049_04,408.2328,797.6604588570058,389.4276588570058
B_CUY_01_045_12,934.39952,924.4204542567626,9.97906574323747
B_CUY_01_065_03,390.08912,797.6604588570058,407.5713388570058
B_CUY_01_045_14,934.39952,961.9626131730669,27.563093173066818
B_CUY_01_049_06,408.2328,779.1102156277731,370.8774156277731
B_CUY_01_043_12,1097.69264,1224.3160531293577,126.62341312935769
B_CUY_01_045_02,934.39952,1405.6225970722155,471.22307707221546
B_CUY_01_043_09,1097.69264,1245.9580035634626,148.26536356346264
B_CUY_01_026_11,734.81904,1344.8926341193703,610.0735941193703
B_CUY_01_026_13,734.81904,619.4456221190203,115.37341788097967
B_CUY_01_026_09,734.81904,853.3111885447039,118.49214854470392
B_CUY_01_045_08,934.39952,1224.3160531293577,289.9165331293576
B_CUY_01_026_12,734.81904,942.9706974859953,208.15165748599532
B_CUY_01_045_05,934.39952,952.2458191006116,17.84629910061153
B_CUY_01_043_08,1097.69264,941.4248438835592,156.26779611644076
B_CUY_01_043_14,1097.69264,894.3867271237192,203.3059128762808
B_CUY_01_049_08,408.2328,654.5585825172108,246.32578251721077
B_CUY_01_043_03,1097.69264,927.5121614616347,170.18047853836526
B_CUY_01_043_01,1097.69264,1136.423234019422,38.730594019421915
B_CUY_01_043_10,1097.69264,1205.765809900125,108.0731699001251
B_CUY_01_049_02,408.2328,717.2760715303308,309.0432715303308
B_CUY_01_049_01,408.2328,674.6546793488795,266.42187934887954
B_CUY_01_045_10,934.39952,1069.9515291146715,135.55200911467148
B_CUY_01_065_04,390.08912,946.9457496065451,556.8566296065451
B_CUY_01_045_06,934.39952,1040.5803106683863,106.1807906683863
B_CUY_01_045_11,934.39952,1446.9189718801501,512.5194518801501
B_CUY_01_026_14,734.81904,679.7339126140265,55.085127385973465
B_CUY_01_049_07,408.2328,654.5585825172108,246.32578251721077
B_CUY_01_043_13,1097.69264,1126.9272761758862,29.23463617588618
CUY_00_029_03,681.0,484.95635870708327,196.04364129291673
B_CUY_01_101_10,489.87936,564.4574011180805,74.57804111808048
B_CUY_01_066_09,381.01728,807.5980891583805,426.5808091583805
B_CUY_01_066_14,381.01728,702.700880421648,321.68360042164795
B_CUY_01_083_03,145.14944,279.3578295830876,134.2083895830876
B_CUY_01_101_02,489.87936,685.6964907948513,195.81713079485132
B_CUY_01_101_18,489.87936,645.9459695893527,156.06660958935265
B_CUY_01_101_04,489.87936,488.0480659119554,1.831294088044615
B_CUY_01_076_05,281.22704,728.7595554341415,447.5325154341415
B_CUY_01_101_11,489.87936,563.7948924313222,73.91553243132216
B_CUY_01_066_11,381.01728,787.0603198688729,406.0430398688728
B_CUY_01_076_02,281.22704,619.6664583479397,338.43941834793975
B_CUY_01_065_07,390.08912,779.1102156277731,389.0210956277731
B_CUY_01_083_02,145.14944,349.8045866083879,204.65514660838792
B_CUY_01_076_10,281.22704,692.5424138913539,411.31537389135394
B_CUY_01_101_14,489.87936,626.7332176733618,136.85385767336174
